,postid,Name,ExtractName,Address,Year,GPA400,GPA375,GPA350,GPA325,GPA300,GPA250,GPA200,GPA100,GPA000
154,11041,Michigan Technological University,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,8,8,8,8,8,8,8,8,8
155,11041,Michigan Technological University,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,8,Percent who had GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,Percent who had GPA between 3.25 and 3.49,Percent who had GPA between 3.00 and 3.24,Percent who had GPA between 2.50 and 2.99,Percent who had GPA between 2.0 and 2.49,Percent who had GPA between 1.0 and 1.99,Percent who had GPA below 1.0
156,11116,Rochester Institute of Technology,Rochester Institute of Technology,"One Lomb Memorial Dr, Rochester, New York, 14623, USA",2022-2023,44.00,79.00,95.40,,,,,,
157,11116,Rochester Institute of Technology,University of Rochester,"300 Wilson Boulevard, New York, NY 14627-0251",2023-2024,23.5%,39.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
158,11117,University of New Hampshire-Main Campus,University of New Hampshire,"Durham, NH 03824",2022-2023,27.54%,16.46%,16.39%,15.40%,13.57%,10.40%,0.24%,,
159,11118,University of San Francisco,University of San Francisco,"2130 Fulton Street, San Francisco, CA 94117-1080 USA",2022-2023,19.14%,24.87%,22.23%,18.36%,12.50%,2.84%,0.00%,0.06%,0.00%
160,11118,University of San Francisco,University of San Diego,"5998 Alcala Park, California, 92110-2492",2023-2024,62.0%,23.0%,11.0%,3.0%,1.0%,0.0%,0.0%,0.0%,0.0%
161,11118,University of San Francisco,San José State University,"One Washington Square, San Jose, California, 95192, United States",2023-2024,18.5%,19.5%,21.3%,17.1%,12.7%,10.2%,0.6%,0.0%,0.0%
162,11119,University of South Carolina-Columbia,University of South Carolina,"Columbia, SC 29208 United States",2021-2022,14.12%,31.10%,27.14%,17.06%,7.64%,2.80%,0%,,
163,11120,Iowa State University,Iowa State University,"Ames, IA 50011 USA",2022-2023,26.52%,27.36%,18.82%,11.92%,8.81%,6.10%,0.45%,0.02%,0.00%
164,11120,Iowa State University,Iowa State University,"100 Enrollment Services Center, Ames, Iowa, 50011, United States",2023-2024,26.5%,28.9%,18.4%,12.8%,8.4%,4.7%,0.3%,0.0%,0.0%
165,11121,University of Dayton,University of Dayton,"300 College Park, Dayton, OH 45469",2023-2024,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
166,11121,University of Dayton,University of Dayton,"300 College Park, Dayton, OH 45469",2022-2023,27%,56%,83%,17%,4%,,,,
167,11121,University of Dayton,Husson University,"Bangor, ME 04401",2022-2023,0.00,0.00,0.00,16.00,14.00,12.00,3.00,1.00,0.00
168,11121,University of Dayton,Husson University,"Bangor, ME 04401",2022-2023,0.00,0.00,0.00,16.00,14.00,12.00,3.00,1.00,0.00
169,11297,DePaul University,Unknown University,Unknown Address,2023-2024,38.26,20.12,15.75,10.08,8.06,6.94,0.79,0.00,0.00
170,11297,DePaul University,Unknown University,Unknown Address,2022-2023,37.72%,20.97%,15.01%,12.37%,6.93%,5.92%,1.08%,0.00%,0.00%
171,11297,DePaul University,Unknown College,Unknown Address,2023-2024,0,0,0,0,0,0,0,0,0
172,11297,DePaul University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
173,11297,DePaul University,San José State University,"One Washington Square, San Jose, California, 95192, United States",2023-2024,18.5%,19.5%,21.3%,17.1%,12.7%,10.2%,0.6%,0.0%,0.0%
174,11297,DePaul University,San José State University,"One Washington Square, San Jose, California, 95192, United States",2023-2024,18.5%,19.5%,21.3%,17.1%,12.7%,10.2%,0.6%,0.0%,0.0%
175,11298,Duquesne University,Duquesne University,"600 Forbes Avenue, Pittsburgh, PA 15282",2022-2023,36.81%,24.33%,19.57%,10.28%,5.25%,2.84%,0.85%,0.07%,0.00%
176,11298,Duquesne University,Duquesne University,"600 Forbes Avenue, Pittsburgh, PA 15282",2021-2022,31.56%,23.47%,18.23%,15.05%,7.44%,3.68%,0.49%,0.08%,0.00%
177,11298,Duquesne University,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA 15213",2023-2024,48.9%,40.9%,7.2%,2.3%,0.4%,0.4%,0.0%,0.0%,0.0%
178,11298,Duquesne University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
179,11298,Duquesne University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,0.00,7.00,1.00,1.00,0.00,0.00,0.00
180,11299,Howard University,Howard University,"2400 Sixth Street NW, Washington, DC, 20059, US",2021-2022,5.70%,37.53%,34.65%,15.24%,5.10%,1.46%,0.28%,0.04%,0.00%
181,11299,Howard University,Howard University,"2400 Sixth Street NW, Washington, DC, 20059, US",2021-2022,6.40%,37.70%,33.80%,14.40%,7.40%,0.30%,,,
182,11299,Howard University,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
183,11299,Howard University,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,0.0%,0.0%,0.0%,0.0%
184,11300,University of Arizona,The University of Arizona,"PO Box 210066, Tucson, Pima, 85721, USA",2022-2023,0%,13%,12%,14%,1%,0%,0%,0%,0%
185,11300,University of Arizona,The University of Arizona,"PO Box 210066, Tucson, AZ, 85721-0066, USA",2021-2022,15.75%,24.41%,16.52%,13.69%,11.32%,16.71%,1.59%,0.01%,0.00%
186,11300,University of Arizona,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,7.0%,9.5%,12.5%,7.8%,8.9%,5.5%,0.2%,0.0%,0.0%
187,11300,University of Arizona,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,7.0%,9.5%,12.5%,7.8%,8.9%,5.5%,0.2%,0.0%,0.0%
188,11341,Clarkson University,Clark University,"950 Main Street, Worcester, MA 01610-1477",2021-2022,34%,26%,14%,11%,9%,6%,1%,,
189,11341,Clarkson University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190,11341,Clarkson University,Washington College,"300 Washington Ave, Chestertown, Maryland, 21620, United States",2023-2024,31.3%,21.3%,15.2%,11.7%,10.0%,7.8%,2.7%,,
191,11341,Clarkson University,Washington College,"300 Washington Ave, Chestertown, Maryland, 21620, United States",2023-2024,31.3%,21.3%,15.2%,11.7%,10.0%,7.8%,2.7%,,
192,11342,Colorado State University-Fort Collins,Unknown University,Unknown Address,2021-2022,30.3%,19.1%,Unknown,Unknown,Unknown,Unknown,Unknown,0.0%,0.0%
193,11343,The New School,Western New England University,"1215 Wilbraham Road, Springfield, MA, 01119",2023-2024,36.43%,10.69%,12.66%,12.10%,11.11%,11.95%,4.92%,0.14%,0.00%
194,11343,The New School,DeSales University,"2755 Station Avenue, Center Valley, PA 18034",2022-2023,23.46%,32.03%,15.50%,10.54%,11.92%,5.76%,0.79%,0.00%,0.00%
195,11343,The New School,University of North Carolina at Chapel Hill,"Chapel Hill, NC 27599",2022-2023,95%,3%,1%,1%,0%,0%,0%,0%,0%
196,11344,Hofstra University,Pitzer College,"1050 N. Mills Avenue, Claremont, California, 91711, United States",2023-2024,45.5%,33.7%,17.5%,2.0%,0.4%,0.8%,0.0%,0.0%,0.0%
197,11344,Hofstra University,Rowan University,"201 Mullica Hill Road, Glassboro, New Jersey, 08028, USA",2023-2024,19.32%,11.74%,20.14%,12.76%,14.06%,20.53%,1.45%,0.00%,0.00%
198,11344,Hofstra University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
199,11344,Hofstra University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
200,11345,University of Kentucky,University of Kentucky,"101 Main Building, Lexington, KY, 40506, United States",2021-2022,14.30%,33.20%,21.30%,13.60%,9.40%,7.00%,1.20%,0.00%,0.00%
201,11345,University of Kentucky,University of Kentucky,"101 Main Building, Lexington, KY 40506-0001 USA",2021-2022,10.00%,20.00%,20.00%,20.00%,20.00%,10.00%,0.00%,0.00%,0.00%
202,11415,Kansas State University,Kansas State University,"110 Anderson Hall, 919 Mid-Campus Drive North, Manhattan, KS 66506",2023-2024,10.63%,35.19%,22.73%,14.32%,9.56%,5.74%,1.56%,0.27%,0.00%
203,11415,Kansas State University,Kansas State University,"110 Anderson Hall, 919 Mid-Campus Drive North, Manhattan, KS 66506",2022-2023,11.08%,34.92%,21.27%,15.37%,7.90%,5.99%,0.95%,0.19%,2.33%
204,11415,Kansas State University,Kansas State University,"110 Anderson Hall, 919 Mid-Campus Drive North, Manhattan, KS 66506",2021-2022,11.38%,35.02%,20.55%,14.14%,8.52%,5.66%,1.50%,0.33%,2.90%
205,11415,Kansas State University,West Texas A&M University,"PO Box 60999, Canyon, Texas, 79016, United States",2023-2024,18.6%,23.2%,20.3%,15.8%,12.9%,9.2%,0.0%,0.0%,0.0%
206,11415,Kansas State University,West Texas A&M University,"PO Box 60999, Canyon, Texas, 79016, United States",2023-2024,18.6%,23.2%,20.3%,15.8%,12.9%,9.2%,0.0%,0.0%,0.0%
207,11416,Louisiana State University and Agricultural & Mechanical College,Louisiana State University,"Baton Rouge, LA 70803",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
208,11416,Louisiana State University and Agricultural & Mechanical College,University at Buffalo,"12 Capen Hall, Buffalo, New York 14260-1660",2023-2024,19.7%,58.2%,21.1%,1.0%,0%,0%,0%,0%,0%
209,11417,Mercer University,Pitzer College,"1050 N. Mills Avenue, Claremont, California, 91711, United States",2023-2024,45.5%,33.7%,17.5%,2.0%,0.4%,0.8%,0.0%,0.0%,0.0%
210,11417,Mercer University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
211,11417,Mercer University,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,12.1%,16.0%,23.7%,16.1%,19.1%,12.1%,1.0%,0.0%,0.0%
212,11417,Mercer University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
213,11418,New Jersey Institute of Technology,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
214,11418,New Jersey Institute of Technology,Rowan University,"201 Mullica Hill Road, Glassboro, New Jersey, 08028, USA",2023-2024,19.32%,11.74%,20.14%,12.76%,14.06%,20.53%,1.45%,0.00%,0.00%
215,11419,Rutgers University-Newark,Rutgers University — Newark,"249 University Avenue, Newark, New Jersey 07102-1896 USA",2022-2023,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
216,11420,University of Arkansas,University of Arkansas,"Fayetteville, AR 72701, USA",2021-2022,29.02%,27.30%,21.17%,14.07%,6.30%,2.09%,0.04%,0.00%,0.00%
217,11420,University of Arkansas,Arkansas State University,"P.O. Box 600, State University / AR / 72467 / USA",2022-2023,23.15%,21.57%,18.33%,13.88%,11.76%,8.07%,2.34%,0.38%,0.52%
218,11471,Texas Tech University,Texas Tech University,"Broadway and University Avenue, Box 45005, Lubbock, Texas, 79409",2023-2024,4.30,37.90,36.40,15.70,4.10,1.30,0.20,0.00,0.00
219,11471,Texas Tech University,Texas Tech University,"Broadway and University Avenue, Lubbock, TX 79409-5005",2022-2023,1.16%,31.44%,44.17%,16.82%,4.23%,1.99%,0.18%,0.01%,0.00%
220,11472,Montclair State University,Montclair State University,"1 Normal Avenue, Montclair, New Jersey, 07042",2023-2024,7%,16%,20%,16%,20%,20%,1%,0%,0%
221,11472,Montclair State University,Montclair State University,"Cole Hall Room 318, 1 Normal Avenue, Montclair, NJ 07042",2022-2023,,,,,,,,,
222,11472,Montclair State University,Montclair State University,"1 Normal Avenue, Montclair, NJ 07042",2019-2020,1.33%,9.79%,17.39%,23.70%,23.28%,23.60%,0.75%,0.13%,0.03%
223,11472,Montclair State University,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
224,11472,Montclair State University,Montana State University,"P.O. Box 172190, Bozeman, Montana 59717",2022-2023,21.13,22.23,19.25,12.96,9.92,11.05,2.74,0.73,0
225,11472,Montclair State University,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
226,11472,Montclair State University,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
227,11473,Mississippi State University,Mississippi State University,"75 B.S. Hood Road, Mississippi State, Mississippi, 39762, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
228,11473,Mississippi State University,Mississippi State University,"P.O. Box 6018, Mississippi State, MS 39762 U.S.A.",2022-2023,10%,20%,30%,15%,10%,10%,5%,0%,0%
229,11473,Mississippi State University,University of Southern Mississippi,"118 College Drive, Hattiesburg, Mississippi, 39406, USA",2023-2024,14.56%,21.58%,15.92%,14.21%,12.97%,14.03%,6.72%,0%,0%
230,11474,Lipscomb University,Lipscomb University,"One University Park Dr., Nashville, Tennessee, 37204-3951, USA",2022-2023,Not provided,Not provided,Not provided,8.32,4.82,3.65,0.73,0.00,0.00
231,11474,Lipscomb University,Lipscomb University,"One University Park Dr., Nashville TN 37204-3951 USA",2020-2021,43.98%,22.59%,14.26%,9.66%,5.20%,3.57%,0.59%,0.15%,
232,11474,Lipscomb University,Lipscomb University,"One University Park Dr, Nashville, TN 37204-3951, USA",2017-2018,45.75%,19.65%,12.89%,8.96%,10.22%,2.52%,0.00%,0.00%,0.00%
233,11474,Lipscomb University,Northern Michigan University,"1401 Presque Isle Avenue, Marquette, Michigan, 49855, United States",2023-2024,7,0,0,0,0,0,0,0,0
234,11474,Lipscomb University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
235,11475,Ball State University,Ball State University,"2000 W. University Ave., Muncie, IN 47306",2021-2022,21.84%,15.31%,17.16%,16.83%,15.72%,13.14%,0.00%,0.00%,0.00%
236,11475,Ball State University,Ball State University,"2000 W University Ave, Muncie, IN, 47306",2021-2022,21.10%,15.35%,16.57%,16.45%,16.33%,14.16%,0.03%,0.00%,0.00%
237,11475,Ball State University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
238,11475,Ball State University,Rowan University,"201 Mullica Hill Road, Glassboro, New Jersey, 08028, USA",2023-2024,19.32%,11.74%,20.14%,12.76%,14.06%,20.53%,1.45%,0.00%,0.00%
239,11475,Ball State University,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,Percent who had GPA of 4.0,Percent who had GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,Percent who had GPA between 3.25 and 3.49,Percent who had GPA between 3.00 and 3.24,Percent who had GPA between 2.50 and 2.99,Percent who had GPA between 2.0 and 2.49,Percent who had GPA between 1.0 and 1.99,Percent who had GPA below 1.0
240,11476,Edgewood College,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
241,11476,Edgewood College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
242,11477,Florida Institute of Technology,Unknown University,Unknown Address,2021-2022,9%,26%,23%,18%,14%,11%,1%,,
243,11477,Florida Institute of Technology,Stephen F. Austin State University,"1936 North Street, Nacogdoches, Texas, 75962, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
244,11477,Florida Institute of Technology,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,20%,25%,30%,15%,5%,3%,1%,0.5%,0.5%
245,11478,University of Idaho,University of Idaho,"875 Perimeter Drive MS 2282, Moscow, Idaho, 83844-2282, United States",2023-2024,7,0,0,0,0,0,0,0,0
246,11478,University of Idaho,University of Idaho,"875 Perimeter Drive MS 2282, Moscow, ID 83844-2282",2022-2023,74%,29.1%,19.9%,15.3%,13.6%,11.5%,3.1%,0.1%,0.1%
247,11478,University of Idaho,University of Idaho,"PO Box 442282, Moscow, ID 83844-2282",2000-2001,0%,0%,0%,0%,78.3%,21.3%,0%,0%,0%
248,11478,University of Idaho,University of New Hampshire,"3 Garrison Avenue, Durham, New Hampshire, 03824, United States",2023-2024,8,8,8,8,8,8,8,8,8
249,11478,University of Idaho,Rowan University,"201 Mullica Hill Road, Glassboro, New Jersey, 08028, USA",2023-2024,19.32%,11.74%,20.14%,12.76%,14.06%,20.53%,1.45%,0.00%,0.00%
250,11478,University of Idaho,Rowan University,"201 Mullica Hill Road, Glassboro, New Jersey, 08028, USA",2023-2024,19.32%,11.74%,20.14%,12.76%,14.06%,20.53%,1.45%,0.00%,0.00%
251,11479,University of Louisville,University of Louisville,"2301 South Third Street Louisville, KY, 40292-0001",2022-2023,35.7,17.6,16.0,11.2,10.2,8.4,0.9,0.0,0.0
252,11479,University of Louisville,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
253,11480,University of Wyoming,University of Wyoming,"1000 E. University Ave, Laramie, WY, 82071, USA",2021-2022,11.3%,28.8%,21.8%,15.1%,11.0%,10.0%,2.0%,0.1%,0.0%
254,11480,University of Wyoming,University of Wyoming,"1000 E. University Ave., Laramie, WY 82071, USA",2022-2023,11.9%,29.0%,20.4%,14.5%,11.3%,11.0%,1.8%,0.1%,0.0%
255,11480,University of Wyoming,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
256,11480,University of Wyoming,University of Wyoming,"1000 E. University Ave, Laramie, WY, 82071, USA",2019-2020,39.7%,19.0%,16.1%,12.0%,10.9%,2.2%,0.1%,0.0%,0.0%
257,11480,University of Wyoming,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,12.1%,16.0%,23.7%,16.1%,19.1%,12.1%,1.0%,0.0%,0.0%
258,11480,University of Wyoming,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,7.0%,9.5%,12.5%,7.8%,8.9%,5.5%,0.2%,0.0%,0.0%
259,11584,University of Central Florida,University of Central Florida,"4365 Andromeda Loop N, Orlando, Florida, 32816-0065, United States",2023-2024,71.0%,16.8%,10.7%,1.1%,0.2%,0.2%,0.1%,,
260,11584,University of Central Florida,University of Central Florida,"4000 Central Florida Blvd, Orlando, FL 32816",2022-2023,16.3%,10.0%,1.2%,0.2%,0.3%,0%,0%,0%,0%
261,11584,University of Central Florida,University of Central Florida,"4000 Central Florida Blvd, Orlando, FL 32816",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
262,11584,University of Central Florida,University of Central Florida,"4000 Central Florida Blvd, Orlando, FL 32816",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
263,11584,University of Central Florida,University of Central Florida,"4000 Central Florida Blvd, Orlando, FL 32816",2023-2024,35%,72%,96%,4%,0%,0%,0%,0%,0%
264,11585,University of New Mexico-Main Campus,Unknown University,Unknown Address,2021-2022,13.88%,16.83%,23.04%,12.20%,15.11%,16.18%,2.68%,0.08%,0.00%
265,11585,University of New Mexico-Main Campus,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
266,11586,Andrews University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
267,11586,Andrews University,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA 15213",2023-2024,48.9%,40.9%,7.2%,2.3%,0.4%,0.4%,0.0%,0.0%,0.0%
268,11586,Andrews University,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA 15213",2023-2024,48.9%,40.9%,7.2%,2.3%,0.4%,0.4%,0.0%,0.0%,0.0%
269,11587,Azusa Pacific University,Azusa Pacific University,"901 E. Alosta Ave., Azusa, CA 91702",2023-2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
270,11587,Azusa Pacific University,Azusa Pacific University,"901 E. Alosta Ave., Azusa, CA 91702-7000",2020-2021,40.10%,17.80%,12.10%,11.90%,8.00%,8.60%,1.50%,,
271,11587,Azusa Pacific University,Azusa Pacific University,"PO Box 7000, Azusa, CA 91702-7000",2017-2018,52.20%,17.90%,16.00%,8.80%,5.00%,0.00%,0.00%,0.00%,0.10%
272,11587,Azusa Pacific University,Florida Polytechnic University,"4700 Research Way, Lakeland, Florida, 33805, United States",2023-2024,64.0%,13.0%,10.0%,8.0%,3.0%,1.0%,1.0%,0.0%,0.0%
273,11588,University of Maine,University of Maine,"168 College Ave, Orono, ME 04469",2022-2023,29.09%,8.84%,14.36%,12.01%,18.67%,9.39%,7.59%,0.05%,
274,11589,West Virginia University,College of Applied Human Sciences,Not Provided,2023-2024,10%,18%,13%,13%,16%,20%,2%,5%,3%
275,11589,West Virginia University,West Virginia University,"President's Office, PO Box 6201, Morgantown, WV, 26506 US",2017-2018,6%,20%,18%,17%,15%,12%,8%,3%,1%
276,11589,West Virginia University,University of Miami,"1306 Stanford Drive, Suite 1210, Coral Gables, Florida, 33124, U.S.A.",2023-2024,0%,45%,23%,9%,2%,1%,0%,0%,0%
277,11589,West Virginia University,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,12.1%,16.0%,23.7%,16.1%,19.1%,12.1%,1.0%,0.0%,0.0%
278,11590,Widener University,Widener University,"One University Place, Chester, PA 19013",2023-2024,3%,0%,0%,0%,0%,0%,0%,0%,0%
279,11590,Widener University,Widener University,"One University Place, Chester, PA 19013",2021-2022,19%,17%,19%,16%,13%,12%,4%,0%,0%
280,11590,Widener University,Widener University,"One University Place, Chester, PA 19013",2019-2020,27.00%,25.00%,15.00%,17.00%,13.00%,3.00%,0.00%,0.00%,0.00%
281,11592,North Dakota State University-Main Campus,University of North Dakota,"3501 University Ave. STOP 8357, Grand Forks, North Dakota, 58202, United States",2023-2024,0,0,0,0,0,0,0,0,0
282,11592,North Dakota State University-Main Campus,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
283,11593,Pace University-New York,Pace University,"One Pace Plaza, New York, 10038, United States",2023-2024,33.2%,,19.2%,16.4%,18.3%,9.7%,2.5%,0.1%,0.0%
284,11593,Pace University-New York,Pace University,"One Pace Plaza, New York, NY 10038",2021-2022,28.82%,0.00%,23.03%,20.61%,18.71%,7.64%,1.19%,0.00%,0.00%
285,11593,Pace University-New York,Pace University,"One Pace Plaza, New York, NY 10038",2021-2022,23.7%,0.0%,19.3%,21.6%,22.2%,11.5%,1.7%,0.0%,0.0%
286,11593,Pace University-New York,Pace University,"One Pace Plaza, New York, NY 10038",2020-2021,0.39%,21.46%,19.22%,14.45%,18.32%,22.13%,4.03%,0.00%,0.00%
287,11687,Arizona State University-Tempe,Arizona State University Campus Immersion,"P.O. Box 871004, Tempe, AZ 85287-1004",2022-2023,10.5%,,,,,,,,
288,11687,Arizona State University-Tempe,Arizona State University Campus Immersion,"University Drive & Mill Avenue, Tempe, AZ 85287",2023-2024,25.7%,29.1%,19.0%,17.2%,8.6%,8.1%,0.0%,0.1%,0.0%
289,11687,Arizona State University-Tempe,Arizona State University Campus Immersion,"P.O. Box 871004, Tempe, AZ 85287-1004",2021-2022,9.1%,26.9%,24.7%,17.3%,12.9%,8.1%,0.9%,0.1%,0.0%
290,11688,Robert Morris University,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA 15213",2023-2024,48.9%,40.9%,7.2%,2.3%,0.4%,0.4%,0.0%,0.0%,0.0%
291,11689,Suffolk University,Brandeis University,"415 South St., Waltham, MA 02453",2023-2024,54%,33%,9%,3%,1%,0%,0%,0%,0%
292,11689,Suffolk University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
293,11689,Suffolk University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
294,11690,University of Hartford,University of Hartford,"200 Bloomfield Avenue, West Hartford, CT 06117",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
295,11691,Bowling Green State University-Main Campus,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
296,11691,Bowling Green State University-Main Campus,University of Pikeville,"147 Sycamore St, Pikeville, KY 41501",2023-2024,19,27,15,9,9,12,6,3,0
297,11691,Bowling Green State University-Main Campus,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
298,11692,University of Houston,University of Houston-Downtown,"One Main Street, Office of Admissions, Suite GSB308, Houston, TX 77002 USA",2023-2024,10.41%,9.66%,15.41%,18.49%,17.54%,24.86%,3.08%,0.55%,0.00%
299,11692,University of Houston,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
300,11693,Western Michigan University,Western Michigan University,"1903 W Michigan Ave, Kalamazoo, MI 49008-5200 USA",2023-2024,16.9%,21.1%,17.9%,15.9%,11.5%,15.6%,1.0%,0.1%,0.0%
301,11693,Western Michigan University,University of Michigan,"500 S. State Street, Ann Arbor, MI 48109 USA",2023-2024,Percent who had GPA of 4.0,Percent who had GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,Percent who had GPA between 3.25 and 3.49,Percent who had GPA between 3.00 and 3.24,Percent who had GPA between 2.50 and 2.99,Percent who had GPA between 2.0 and 2.49,Percent who had GPA between 1.0 and 1.99,Percent who had GPA below 1.0
302,11693,Western Michigan University,Northern Michigan University,"1401 Presque Isle Avenue, Marquette, Michigan, 49855, United States",2023-2024,7,0,0,0,0,0,0,0,0
303,11693,Western Michigan University,Western Michigan University,"1903 W Michigan Ave, Kalamazoo, MI 49008-5211 USA",2021-2022,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
304,11694,Indiana University-Purdue University-Indianapolis,Purdue University,"475 Stadium Drive, West Lafayette, Indiana, 47906, United States",2023-2024,36.3%,33.0%,,,,,,,
